# generated by ews.pipeline on 2026-06-10T19:46:30, loader=synthetic
date,vix,term_spread,credit_spread
2009-06-30,12.743108190098317,1.6994690893167173,2.0565956996103982
2009-07-31,11.481115858245722,1.3842799496062927,2.33028730741943
2009-08-31,10.0,1.4142174742287645,2.2531872517411067
2009-09-30,13.399778793204696,1.364222769675589,1.9810582062126219
2009-10-31,20.474168878372865,1.3722196006630698,1.9112036080707868
2009-11-30,14.696946173144449,1.941186016545091,2.4373572177947573
2009-12-31,19.01216169363663,1.5772372798349712,2.1474737151792485
2010-01-31,20.4721960844524,1.3128332263195217,2.235165808956421
2010-02-28,12.238357996752963,1.372449699509318,2.1814210391600604
2010-03-31,11.713957899322093,1.4719862559622667,1.827649020828063
2010-04-30,15.233141888408209,0.9402821789078551,1.6456933790980306
2010-05-31,13.90036829620625,1.6854924863517164,1.9652728634419567
2010-06-30,16.008537747690433,1.637644542220457,1.8240927313981896
2010-07-31,16.850881971421874,1.338926696386877,1.6544661011758786
2010-08-31,14.827300618734697,1.6147611724810116,2.0677178101999605
2010-09-30,15.96450851656354,1.9784730531875452,2.0825824320617556
2010-10-31,18.93620801781204,1.9476286676995906,1.7411829353677502
2010-11-30,12.88363536938514,1.8487424450245862,1.8403874529517874
2010-12-31,16.08904969090999,1.7138631938848699,2.178141278258634
2011-01-31,21.264658545943327,1.7991288274066939,2.2138785339411475
2011-02-28,13.681873857258426,1.6589725335586436,2.0628543989013735
2011-03-31,12.021203620178632,1.7834598092953704,2.161447306915713
2011-04-30,16.136470241893292,1.4533815878031173,1.7603397710598425
2011-05-31,16.598572220675898,1.5936878238891288,1.8337690031513443
2011-06-30,19.486612147298587,1.2805593907033932,1.5753799299915117
2011-07-31,19.1191812726781,1.4193267923795785,1.9747940829373969
2011-08-31,27.48744983152484,1.1788074478565194,2.2510474749448437
2011-09-30,27.933393048459237,1.832190497629588,2.161461637242146
2011-10-31,29.05572555984762,1.2828195197746266,1.8535076026559085
2011-11-30,26.36243060671449,1.917422671917637,2.032888246045965
2011-12-31,33.450616627639896,1.2465295901979545,2.036207025919401
2012-01-31,19.533585816425735,1.4329978476133969,2.2062228917843485
2012-02-29,12.7462962639827,1.2273056910762832,2.075880122415627
2012-03-31,14.862470696282344,1.6284109378543663,1.6044224136959102
2012-04-30,18.136793906411555,2.019660785453863,1.9950748037137043
2012-05-31,16.10242638672952,1.5359098969277358,1.6276048578416424
2012-06-30,17.27843991907093,1.1789180511968071,1.914464080375239
2012-07-31,19.72860864881121,1.3529566087799847,2.10024979791348
2012-08-31,19.038217161869113,1.5557481712192,1.7258103059810783
2012-09-30,15.002574173945758,1.8918822684776573,1.594990847400506
2012-10-31,15.172641958401474,1.3895783857023785,2.0241494726194276
2012-11-30,18.244646851561694,1.8217381936044106,1.9459535215981685
2012-12-31,18.43702398993046,1.5999480289730346,2.09486945957436
2013-01-31,14.308228205420583,1.30053570624482,1.7799913774758607
2013-02-28,13.73068837180263,1.5643373151732454,2.152189878625666
2013-03-31,16.970406543570686,1.3902089807608518,2.361194021986495
2013-04-30,20.55659687089462,1.4291999774499653,1.8353137188028668
2013-05-31,16.39064486247391,1.7534597290108707,2.0665529954508233
2013-06-30,17.66964611473013,1.457583975544875,2.091254179040446
2013-07-31,20.633633354368413,1.4520662437044578,2.0286615465015747
2013-08-31,16.76144942964888,1.5567450711542075,1.7176222247857544
2013-09-30,10.369394032378317,1.2960689858156322,2.0335884590803337
2013-10-31,17.661568498009636,1.3938650880452752,2.2754514965734614
